Ref,Val,Package,PosX,PosY,Rot,Side
"C401","100n","C_0603_1608Metric",80.7750,27.5000,180.0000,top
"C402","10u","C_0603_1608Metric",75.5000,57.5000,90.0000,top
"C403","100n","C_0603_1608Metric",77.0000,57.5000,90.0000,top
"C404","1u","C_0603_1608Metric",83.5000,23.4750,90.0000,top
"C405","1u","C_0603_1608Metric",76.5000,25.0000,-90.0000,top
"C501","100n","C_0603_1608Metric",33.6550,3.3150,-90.0000,top
"C502","27p","C_0603_1608Metric",68.3400,22.8600,0.0000,top
"C503","27p","C_0603_1608Metric",65.0110,22.8600,0.0000,top
"C504","4.7u","C_0603_1608Metric",73.1120,3.8970,45.0000,top
"C505","10u","C_0603_1608Metric",86.3600,27.3050,180.0000,top
"C506","100n","C_0603_1608Metric",70.5720,6.4370,45.0000,top
"C507","100n","C_0603_1608Metric",62.3170,21.5030,-45.0000,top
"C508","100n","C_0603_1608Metric",86.3600,24.1300,180.0000,top
"C509","100n","C_0603_1608Metric",71.8420,5.1670,45.0000,top
"C510","10n","C_0603_1608Metric",66.5880,7.0720,135.0000,top
"C511","1u","C_0603_1608Metric",65.3180,5.8020,135.0000,top
"C512","100n","C_0603_1608Metric",85.0000,18.2750,-90.0000,top
"C601","100n","C_0603_1608Metric",31.7500,19.8250,90.0000,top
"C602","100n","C_0603_1608Metric",46.3550,19.8250,90.0000,top
"C603","1u","C_0603_1608Metric",22.2250,45.7200,-90.0000,top
"C604","100n","C_0603_1608Metric",33.7950,42.5450,0.0000,top
"C605","390n","C_0603_1608Metric",33.7950,27.9400,0.0000,top
"C606","180n","C_0603_1608Metric",37.9600,15.2400,180.0000,top
"C607","390n","C_0603_1608Metric",28.5750,39.8650,-90.0000,top
"C608","390n","C_0603_1608Metric",28.5750,25.8950,-90.0000,top
"C609","390n","C_0603_1608Metric",45.0850,11.2900,-90.0000,top
"C610","100n","C_0603_1608Metric",31.7500,34.4300,90.0000,top
"C611","10u","C_0603_1608Metric",48.4000,45.0850,180.0000,top
"C612","10u","C_0603_1608Metric",48.2600,41.9100,90.0000,top
"C613","100n","C_0603_1608Metric",33.7950,17.1450,0.0000,top
"C614","100n","C_0603_1608Metric",31.7500,48.4000,90.0000,top
"C615","1u","C_0603_1608Metric",33.7950,14.6050,180.0000,top
"C616","100n","C_0603_1608Metric",46.3550,48.4000,90.0000,top
"C701","100n","C_0603_1608Metric",62.8650,48.4000,90.0000,top
"C702","100n","C_0603_1608Metric",62.8650,39.5100,90.0000,top
"C703","15n","C_0603_1608Metric",54.4200,33.0200,0.0000,top
"C704","18n","C_0603_1608Metric",54.4700,36.8300,180.0000,top
"C705","10n","C_0603_1608Metric",64.9100,34.9250,0.0000,top
"C706","68n","C_0603_1608Metric",64.9100,36.8300,0.0000,top
"C707","100n","C_0603_1608Metric",56.9600,48.2600,180.0000,top
"D501","LED","LED_0805_2012Metric",39.1668,3.1750,0.0000,top
"D502","LED","LED_0805_2012Metric",39.1668,6.9850,0.0000,top
"D601","1N4148WS","D_SOD-323_HandSoldering",17.5000,47.5000,-90.0000,top
"D602","1N4148WS","D_SOD-323_HandSoldering",17.5000,42.5000,-90.0000,top
"D603","1N4148WS","D_SOD-323_HandSoldering",17.5000,32.5000,-90.0000,top
"D604","1N4148WS","D_SOD-323_HandSoldering",17.5000,27.5000,-90.0000,top
"D605","1N4148WS","D_SOD-323_HandSoldering",17.5000,17.5000,-90.0000,top
"D606","1N4148WS","D_SOD-323_HandSoldering",17.5000,12.5000,-90.0000,top
"F401","MF-MSMF030-2","R_1812_4532Metric",85.0000,36.0000,180.0000,top
"F501","MF-MSMF030-2","R_1812_4532Metric",88.9000,20.3200,90.0000,top
"FB501","MH1608-601Y","L_0603_1608Metric",64.1350,4.4450,-45.0000,top
"FID401","FIDUCIAL","Fiducial_1mm_Mask2mm",10.0000,5.0000,0.0000,top
"FID402","FIDUCIAL","Fiducial_1mm_Mask2mm",90.0000,55.0000,0.0000,top
"FID403","FIDUCIAL","Fiducial_1mm_Mask2mm",90.0000,5.0000,0.0000,top
"ID401","BOARD_STACKUP_MARKER","STACKUP_ID_2L",82.5000,5.0000,0.0000,top
"J401","KLDX-0202-B","BarrelJack_Kycon_KLDX-0202-xC_Horizontal",85.5500,45.0000,180.0000,top
"J402","EBWA-02-B","TerminalBlock_Phoenix_MKDS-1-2-3.81_1x02_P3.81mm_Horizontal",95.4723,28.0670,90.0000,top
"J501","Conn_ST_STDC14","PinHeader_2x07_P1.27mm_Vertical_SMD",53.3400,8.8900,45.0000,top
"J502","USB4105-GF-A","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",96.3250,15.0000,90.0000,top
"J601","1-1337535-0","BNC_TEConnectivity_1478204_Vertical",7.5000,45.0000,0.0000,top
"J602","1-1337535-0","BNC_TEConnectivity_1478204_Vertical",7.5000,30.0000,0.0000,top
